SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
0,,,801221167- Part E,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,3,,3,,0,SGCC,3,2.0,107.0,540.0,0.9,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,4,N,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,88,,88,,0,SS,88,3.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-S M8-2,Clinch Nut M8-2.0mm(Zinc Blue Platting),0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,36,,36,,0,MS ,36,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-2.0mm(Zinc Blue Platting),0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,6,,6,,0,MS ,6,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,M12-Weldnut,Weld  Nut M12-2mm(Zinc Blue Platting),0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,6,,6,,0,MS,6,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,Glore,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221168,A,0,breaker mounting plate,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,,,0,SGCC,1,2.0,150.0,440.5,1.0,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,3,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M4-2,Clinch Nut M4-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,4,,,,0,MS ,4,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221169,A,0,breaker mounting plate,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,#N/A,0,,,,,,2,,2,,0,SGCC,1,2.0,190.0,496.0,1.5,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,3,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M4-2,Clinch Nut M4-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,16,,16,,0,MS ,8,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221170,A,0,rear cover mbs,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.5,276.0,1850.0,6.0,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,0,0,0,Y,0,0,0,0,,,,
0,801221171,B,0,front cover,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,,,0,SGCC,1,1.2,355.0,1860.5,6.2,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,6,Y,0,Y,0,0,0,0,,,,
0,,,SE-FH M3-18,StudM3X18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,,,,0,MS,2,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221172,B,0,support pillar,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.5,154.5,1854.5,3.4,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,8,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,14,,14,,0,MS ,14,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221173,A,0,support pillar,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.5,174.0,1854.5,3.8,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,8,Y,0,Y,0,0,0,0,,,,
0,,,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,17,,17,,0,MS ,17,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-S M6-1,Clinch Nut M6-1.0mm(Zinc Blue Platting),0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,,2,,0,MS ,2,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221174,1,0,"SMP, TB FIXED-PLATE(40K)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.5,36.0,102.0,0.04,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,1,Y,0,0,0,0,0,0,,,,
0,,,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,1,1.5,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221175,A,0, Front door ,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,1,,1,,EN327N,SGCC,1,1.2,378.4,1908.4,6.8,1.44,0.32,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,8,Y,Y,Y,Y,0,0,0,,,,
0,,,373-54119-Part4,Part-4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,,1,,EN327N,SGCC,1,2.00,63.00,1821.00,1.80,0.23,0.05,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,,,SE-FH M3-14,StudM3X14,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,6,,6,,0,MS,6,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,,8,,0,SS,8,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,801221175-PART-2,ROD,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,3,,3,,EN327N,ASTM227,3,2.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,ROD,ASIAN SPRINGS,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,,,CL 248-2,Hinge CL 248-2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,3,,3,,0,MS,3,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,Arihant,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221176,A,0,mounting channel,0,0,0,0,0,2,2,2,0,2,2,0,2,0,0,0,0,0,2,2,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,#N/A,0,,,,,,2,,0,,0,SGCC,1,2.0,183.0,850.0,2.4,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M8-2,Clinch Nut M8-2.0mm(Zinc Blue Platting),0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,8,,0,,0,MS ,4,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221177,A,0,SMP.MBS Panel Partition ,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.2,360.0,646.0,2.2,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,11,Y,0,Y,0,0,0,0,,,,
0,,,801221177-PART 2,SMP.MBS Panel Partition ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,1,,1,,0,SGCC,1,1.2,25.0,55.0,0.0,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,1,N,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,2,,2,,0,SS,2,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221178,1,0,"SMP, Panel Bus Assembly- 157606146",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,3.0,970.0,1762.0,40.3,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,14,Y,0,Y,0,0,0,0,,,,
0,,,SE-FH M6-20,StudM6X20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,3.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-SO M4-14,Stand Off M5X14 T(through hole),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,6,3.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221179,A,0,MBS Cover,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,100.0,70.0,0.07,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,1,0,0,Y,0,0,0,0,,,,
0,801221180,A,0,Plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.0,45.0,60.0,0.04,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221184,B,0,Door MBS Panel 160-200KVA MBS-Int TRX,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,EN327N,SGCC,1,1.2,886.0,1917.0,16.0,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,8,Y,Y,Y,Y,0,0,0,,,,
0,,,801221184-PART2,ROD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,5,5,,5,,5,EN327N,ASTM227,5,5.0,0.0,0.0,0.0,0,0,Sub Parts,ROD,ASIAN SPRINGS,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,,,373-54119-Part4,Part-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,,1,,1,EN327N,SGCC,1,2.00,63.00,1821.00,1.80,0.23,0.05,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,,,SE-FH M4-12,StudM4X12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,10,10,10,,10,,10,0,MS,10,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,8,8,,8,,8,0,SS,8,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,CL 248-2,Hinge CL 248-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,3,3,,3,,3,0,MS,3,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,Arihant,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221185,0,0,"SMP, Breaker Support Plate Top",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,3.0,220.0,1133.0,5.9,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,5,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M4-2,Clinch Nut M4-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,8,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221186,0,0,"SMP, Breaker Support Plate Bottom ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,3.0,220.0,1133.0,5.9,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,5,Y,0,Y,0,0,0,0,,,,
0,,,SE-S M4-2,Clinch Nut M4-2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS ,2,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221187,B,0,"SMP, Front Cov",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.2,829.0,1832.0,14.3,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,4,0,0,Y,0,0,0,0,,,,
0,,,801221187-PART 2,"SMP, Front Cov",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,1,1.2,170.0,170.0,0.3,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,801221188,B,0,"SMP, Rear Cover",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,,,,0,SGCC,1,1.5,772.6,1854.0,16.9,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,2,Y,0,Y,0,0,0,0,,,,
0,801221189,B,0,"SMP, Top Cover",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,1.5,863.0,920.5,9.4,0,0,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,12,0,0,Y,0,0,0,0,,,,
0,801221190,0,0,"SMP, Base Frame",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,#N/A,0,,,1,1,1,,1,,1,0,SGCC,1,3.0,824.0,1474.6,28.6,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,30,Y,Y,Y,0,0,0,0,,,,
0,,,801221190-PART A,"SMP, Base Frame",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,2,2,,2,,2,0,SGCC,2,2.0,102.8,743.1,1.2,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,3,N,0,0,0,0,0,0,,,,
0,,,801221190-PART C,"SMP, Base Frame",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,,1,,1,0,SGCC,1,2.0,149.4,735.0,1.7,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,4,N,0,0,0,0,0,0,,,,
0,,,801221190-PART D,"SMP, Base Frame",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,3,3,,3,,3,0,SGCC,3,2.0,91.4,700.0,1.0,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,4,N,0,0,0,0,0,0,,,,
0,,,801221190-PART E,"SMP, Base Frame",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,1,,1,,1,0,SGCC,1,1.2,160.0,500.0,0.8,0,0,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,,,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,16,16,16,,16,,16,0,MS ,16,2.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-S M8-3,Clinch Nut M8-3.0mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,42,42,42,,42,,42,0,MS ,42,3.0,0.0,0.0,0.0,0,0,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,M12-Weldnut,Weld  Nut M12-2mm(Zinc Blue Platting),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,6,6,6,,6,,6,0,MS,6,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,Glore,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,86,86,86,,86,,86,0,SS,86,3.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-BSO 3.5M3-12,Stand Off M3X12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,4,4,,4,,4,0,MS,4,3.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,,,SE-FH M6-8,StudM6X8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,3,3,,3,,3,0,MS,3,3.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221191,0,0,"SMP, Transformer Channel",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,2,#N/A,0,,,2,2,2,,2,,2,0,SGCC,1,2.0,164.4,800.0,2.1,0,0,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,Y,0,Y,0,0,0,0,,,,
